CLV,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Response,Gender,Total Claim Amount,Coverage,Education,Location Code,Marital Status,Policy Type,Label,State,EmploymentStatus,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
13891.73567,42305,117,10,62,0,2,0,1,561.6,2,1,1,1,1,1,California,Employed,Personal L3,Offer1,Agent,Four-Door Car,Small
7380.976717,65706,91,19,86,0,8,0,0,436.8,1,2,1,1,1,1,Oregon,Employed,Personal L3,Offer2,Web,Four-Door Car,Small
3090.034104,0,90,7,79,0,1,0,1,648,1,1,1,0,1,2,Oregon,Unemployed,Personal L2,Offer3,Agent,Two-Door Car,Small
2521.633095,53243,66,4,15,2,1,0,1,157.397849,0,0,0,0,1,1,Arizona,Employed,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
2652.061785,0,70,7,1,1,1,0,0,484.318536,0,0,1,1,0,2,Nevada,Unemployed,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
2771.045031,50071,71,3,32,0,1,1,0,18.918935,0,1,0,0,0,2,Oregon,Employed,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
3939.00637,60021,99,12,28,0,1,1,0,882.871945,1,1,1,1,1,1,California,Employed,Personal L2,Offer2,Agent,Four-Door Car,Small
12231.87968,43244,103,15,16,0,2,0,1,494.4,0,0,1,1,1,2,Arizona,Employed,Personal L2,Offer4,Agent,Sports Car,Medsize
2443.665166,92834,61,15,56,0,1,0,1,292.8,0,1,1,1,2,1,Washington,Employed,Special L2,Offer2,Call Center,Four-Door Car,Large
12819.10289,10105,172,5,4,3,3,0,0,0.517753,2,2,0,1,1,2,Oregon,Disabled,Personal L2,Offer1,Branch,SUV,Medsize
4468.510542,0,73,7,57,3,5,0,1,579.165954,0,1,1,0,1,1,Arizona,Unemployed,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
5514.344018,23218,71,7,10,0,4,0,0,447.79344,0,0,1,0,1,2,Oregon,Employed,Personal L2,Offer4,Agent,Two-Door Car,Medsize
3343.875326,0,92,11,77,0,1,0,0,529.624084,1,1,1,1,0,0,California,Unemployed,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
2294.478927,0,62,11,56,0,1,0,0,313.023175,0,0,1,1,1,1,Arizona,Unemployed,Personal L2,Offer4,Branch,Four-Door Car,Medsize
36707.42639,24804,104,1,28,0,2,0,1,593.830288,0,1,1,1,1,2,Oregon,Employed,Personal L2,Offer1,Agent,SUV,Small
33473.34946,33190,106,18,95,0,2,1,0,508.8,0,1,1,0,0,0,California,Employed,Corporate L1,Offer1,Web,SUV,Medsize
7983.431709,36014,69,4,40,3,2,0,0,173.956072,0,0,0,1,2,1,Nevada,Employed,Special L1,Offer4,Branch,Four-Door Car,Medsize
4854.745666,29834,64,19,44,0,3,0,1,307.2,0,1,1,0,1,1,Washington,Employed,Personal L3,Offer4,Agent,Four-Door Car,Medsize
4293.997319,16701,113,20,26,0,1,0,1,831.625979,2,1,1,1,1,1,California,Disabled,Personal L2,Offer1,Branch,Four-Door Car,Small
7164.395543,46623,91,1,53,0,3,0,0,436.8,1,1,1,0,0,0,Arizona,Employed,Corporate L3,Offer3,Call Center,Four-Door Car,Small
7619.5158,64749,64,24,59,0,2,0,1,302.56519,0,1,2,1,2,1,California,Employed,Special L2,Offer2,Branch,Four-Door Car,Medsize
3958.002823,0,101,29,12,0,1,0,0,484.8,0,0,1,1,1,2,Arizona,Unemployed,Personal L2,Offer1,Call Center,SUV,Small
4499.493252,16969,124,34,47,2,1,0,0,704.768111,1,0,1,0,1,2,Oregon,Disabled,Personal L3,Offer1,Call Center,SUV,Medsize
4059.567414,11621,108,4,98,0,1,0,0,518.4,2,2,1,0,1,1,Oregon,Disabled,Personal L1,Offer1,Agent,Four-Door Car,Medsize
4458.113369,17622,65,1,36,1,3,1,1,312,0,1,1,0,1,1,Arizona,Retired,Personal L1,Offer1,Agent,Four-Door Car,Medsize
8110.333139,11489,105,4,50,0,6,0,0,504,2,1,1,1,1,2,California,Medical Leave,Personal L3,Offer1,Call Center,Two-Door Car,Small
3339.764873,0,94,20,53,0,1,0,1,863.327324,1,1,1,0,1,2,Oregon,Unemployed,Personal L3,Offer1,Agent,Two-Door Car,Small
24261.01777,66525,100,0,86,0,2,0,0,104.331355,0,0,0,1,1,2,California,Employed,Personal L3,Offer1,Agent,SUV,Medsize
6613.973653,0,63,21,28,0,2,0,0,676.391482,0,1,1,0,1,1,Arizona,Unemployed,Personal L3,Offer3,Branch,Four-Door Car,Large
2930.693543,33663,73,29,71,0,1,0,1,350.4,0,1,1,1,1,1,Washington,Employed,Personal L3,Offer3,Web,Four-Door Car,Medsize
8672.194272,22547,112,7,60,0,3,0,0,537.6,0,1,1,0,0,2,Oregon,Employed,Corporate L3,Offer1,Agent,SUV,Medsize
11638.66926,61486,97,5,65,0,2,0,0,465.258644,1,0,2,1,1,2,Arizona,Employed,Personal L3,Offer4,Branch,Two-Door Car,Small
6846.150323,0,95,13,20,0,5,1,0,456,1,1,1,0,1,2,Oregon,Unemployed,Personal L3,Offer1,Call Center,Two-Door Car,Large
11727.77648,29879,102,17,0,0,2,0,0,500.254235,2,1,1,1,1,1,California,Disabled,Personal L3,Offer3,Web,Four-Door Car,Medsize
22643.83478,93011,113,17,12,0,2,0,1,281.451042,0,0,0,0,1,2,Oregon,Employed,Personal L3,Offer4,Agent,SUV,Medsize
2614.474305,65186,65,29,27,0,1,0,1,5.434505,0,2,0,1,1,2,Oregon,Employed,Personal L2,Offer2,Web,Two-Door Car,Large
2451.752695,26840,64,1,47,2,1,0,1,307.2,0,2,1,1,1,1,Oregon,Medical Leave,Personal L1,Offer1,Agent,Four-Door Car,Medsize
6781.270203,0,104,30,3,1,5,0,1,982.399613,0,1,1,0,1,2,Oregon,Unemployed,Personal L3,Offer1,Agent,Sports Car,Medsize
4974.801539,75644,65,5,68,3,9,1,1,467.803638,0,1,1,0,1,2,Oregon,Employed,Personal L3,Offer2,Branch,Two-Door Car,Medsize
8591.604933,38984,73,27,38,0,2,0,1,350.4,0,1,1,1,1,1,Oregon,Employed,Personal L3,Offer2,Branch,Four-Door Car,Small
5592.161392,71811,71,17,48,0,6,0,0,29.03416,0,0,0,0,1,1,Oregon,Employed,Personal L1,Offer2,Call Center,Four-Door Car,Medsize
8009.472833,20961,67,20,33,0,2,0,1,321.6,0,1,1,1,1,1,Nevada,Employed,Personal L1,Offer2,Agent,Four-Door Car,Medsize
11318.08982,38923,99,6,83,2,2,0,1,115.728852,1,1,0,1,1,1,Washington,Employed,Personal L3,Offer1,Agent,Four-Door Car,Medsize
58166.55351,61321,186,0,30,1,2,0,1,427.63121,0,1,0,0,1,1,California,Employed,Personal L3,Offer2,Branch,Luxury Car,Small
8025.229358,0,77,20,26,0,2,0,0,25.807685,1,1,0,0,1,2,California,Unemployed,Personal L3,Offer3,Branch,Two-Door Car,Large
5780.182197,51066,74,23,0,0,8,1,1,787.993313,0,0,1,0,1,1,California,Employed,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
4118.539113,34378,102,12,54,0,1,0,1,489.6,0,2,1,1,1,2,California,Employed,Personal L1,Offer3,Branch,SUV,Medsize
2523.07015,43072,63,35,15,0,1,0,1,302.4,0,2,1,1,1,1,Nevada,Employed,Personal L3,Offer2,Call Center,Four-Door Car,Large
6554.216396,25222,90,28,69,0,3,0,0,475.623251,1,1,1,0,1,1,Oregon,Disabled,Personal L3,Offer2,Agent,Four-Door Car,Small
7703.397294,36765,66,15,32,1,2,0,1,320.849072,0,0,1,1,1,1,Washington,Employed,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
5926.729379,23091,96,28,90,5,5,1,1,460.8,1,1,1,1,1,1,California,Retired,Personal L1,Offer1,Agent,Four-Door Car,Medsize
2683.470677,48269,69,3,79,3,1,0,0,282.151207,0,1,2,1,0,0,California,Employed,Corporate L2,Offer3,Web,Four-Door Car,Medsize
2695.182419,32720,67,13,12,0,1,0,0,321.6,0,1,1,0,1,1,Oregon,Employed,Personal L2,Offer3,Branch,Four-Door Car,Medsize
6047.02516,20396,76,15,60,1,4,1,1,364.8,1,1,1,1,1,1,California,Employed,Personal L3,Offer1,Branch,Four-Door Car,Medsize
13171.01282,21513,119,21,81,1,2,0,1,679.827592,2,1,1,1,1,2,Oregon,Medical Leave,Personal L3,Offer2,Branch,Two-Door Car,Small
10656.88195,72540,88,7,3,0,2,1,0,631.743039,1,1,1,1,0,2,Washington,Employed,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize
2527.653796,80744,63,24,84,0,1,0,0,11.879037,0,1,0,1,0,0,Oregon,Employed,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
2672.095756,52822,67,23,88,0,1,0,1,350.529033,0,1,1,1,0,2,Oregon,Employed,Corporate L1,Offer1,Branch,Two-Door Car,Small
5313.294035,0,77,8,10,1,9,0,0,863.3947,1,0,1,0,1,1,California,Unemployed,Personal L2,Offer1,Agent,Four-Door Car,Medsize
20946.19251,69738,74,2,26,1,2,0,0,492.127532,0,1,1,1,1,1,Oregon,Employed,Personal L3,Offer1,Branch,Four-Door Car,Large
8375.353929,17780,109,12,18,0,9,0,0,132.588288,0,2,0,1,1,2,Arizona,Medical Leave,Personal L3,Offer1,Branch,SUV,Medsize
4801.661503,18107,62,29,11,0,8,0,1,297.6,0,1,1,1,1,1,California,Medical Leave,Personal L2,Offer1,Agent,Four-Door Car,Medsize
5745.94334,57740,74,30,87,3,9,0,0,269.905129,0,1,2,1,1,1,Arizona,Employed,Personal L1,Offer3,Web,Four-Door Car,Medsize
6066.115969,32627,76,11,60,0,7,0,1,380.036697,1,1,1,1,1,2,Oregon,Employed,Personal L2,Offer1,Agent,Two-Door Car,Small
8002.308333,0,107,3,65,0,3,1,0,513.6,0,1,1,1,1,2,California,Unemployed,Personal L3,Offer1,Agent,SUV,Medsize
2393.915369,0,70,24,10,0,1,1,1,425.266308,0,1,1,0,1,1,California,Unemployed,Personal L1,Offer1,Branch,Four-Door Car,Medsize
4762.8179,65795,62,2,85,1,3,0,1,49.011099,0,1,0,0,0,2,Oregon,Employed,Corporate L3,Offer3,Call Center,Two-Door Car,Medsize
4330.38602,60475,107,9,18,0,1,1,1,513.6,2,1,1,1,1,1,California,Employed,Personal L3,Offer2,Branch,Four-Door Car,Medsize
9402.729769,0,130,28,88,0,4,0,0,936,1,0,1,0,1,2,California,Unemployed,Personal L3,Offer1,Web,SUV,Medsize
6966.694527,41837,88,29,93,0,9,0,0,142.062768,1,1,0,1,1,1,Oregon,Employed,Personal L3,Offer1,Call Center,Four-Door Car,Small
7694.064293,32303,65,13,34,0,2,0,0,45.152521,0,1,0,1,1,1,California,Employed,Personal L1,Offer3,Branch,Four-Door Car,Medsize
8717.561149,0,117,5,89,1,3,0,1,561.6,0,0,1,1,1,2,Oregon,Unemployed,Personal L1,Offer1,Agent,SUV,Medsize
5928.748528,40531,74,17,32,0,9,0,0,30.567357,0,1,0,1,1,2,California,Employed,Personal L3,Offer1,Agent,Two-Door Car,Medsize
2452.977288,79898,62,5,86,1,1,0,1,271.606799,0,1,2,1,0,0,Oregon,Employed,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
6701.571657,56398,85,4,18,0,7,0,1,408,1,1,1,1,1,1,California,Employed,Personal L3,Offer4,Agent,Four-Door Car,Small
7556.24034,35257,98,16,2,1,8,0,1,470.4,1,0,1,0,0,0,Washington,Employed,Corporate L2,Offer2,Web,Four-Door Car,Small
8492.6988,27804,109,19,54,0,7,0,1,784.8,0,1,1,1,1,2,Arizona,Employed,Personal L3,Offer2,Branch,SUV,Medsize
7713.494046,45506,66,16,32,2,2,0,1,316.8,0,1,1,0,1,1,Oregon,Employed,Personal L3,Offer1,Agent,Four-Door Car,Medsize
24084.5352,65196,67,0,54,0,2,0,1,396.082036,0,0,1,1,1,1,Washington,Employed,Personal L2,Offer4,Branch,Four-Door Car,Medsize
7290.069769,0,102,11,70,1,3,0,1,489.6,0,0,1,1,0,0,California,Unemployed,Corporate L2,Offer1,Agent,SUV,Medsize
4772.943848,20993,133,35,90,0,1,1,1,638.4,1,0,1,0,1,2,Oregon,Retired,Personal L3,Offer2,Agent,SUV,Medsize
6806.491395,37839,86,35,77,0,9,0,1,465.633954,1,0,1,1,1,2,Arizona,Employed,Personal L3,Offer2,Branch,Two-Door Car,Medsize
2469.781334,92711,62,24,10,0,1,0,0,368.400146,0,1,1,0,1,2,California,Employed,Personal L2,Offer3,Agent,Two-Door Car,Medsize
3103.923041,74665,78,10,90,2,1,0,0,236.902001,1,1,2,1,0,0,California,Employed,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize
2981.875575,0,83,26,89,0,1,0,1,582.679087,1,1,1,1,1,2,Washington,Unemployed,Personal L2,Offer3,Web,Two-Door Car,Medsize
8902.737595,46833,112,6,3,0,9,0,1,64.109663,0,1,0,1,1,2,California,Employed,Personal L3,Offer1,Call Center,Sports Car,Medsize
5499.447223,88768,68,17,77,0,7,0,0,326.4,0,0,1,1,1,2,Oregon,Employed,Personal L3,Offer3,Branch,Two-Door Car,Small
15023.59858,28262,192,9,77,0,3,0,1,921.6,0,0,1,0,1,2,California,Employed,Personal L3,Offer3,Web,Luxury SUV,Medsize
2509.107875,33555,63,17,11,0,1,0,0,101.89645,0,1,0,1,1,1,Nevada,Employed,Personal L3,Offer1,Agent,Four-Door Car,Medsize
31221.7481,42780,113,10,27,1,2,0,1,542.4,2,1,1,0,1,1,Oregon,Employed,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
3133.503432,58850,78,20,26,0,1,0,0,143.747794,1,2,0,0,1,1,Oregon,Employed,Personal L3,Offer2,Branch,Four-Door Car,Medsize
3837.451863,21880,97,29,37,0,1,0,1,424.077159,1,1,2,1,2,1,Arizona,Employed,Special L2,Offer1,Branch,Four-Door Car,Medsize
11790.49617,25251,66,13,43,0,2,1,1,316.8,0,1,1,0,1,1,Oregon,Retired,Personal L2,Offer2,Web,Four-Door Car,Medsize
7838.068321,0,69,9,12,0,2,0,0,2.704934,0,2,0,1,1,1,Washington,Unemployed,Personal L1,Offer2,Agent,Four-Door Car,Medsize
4305.808345,24188,109,14,82,0,1,0,1,523.2,0,0,1,1,1,2,Arizona,Employed,Personal L3,Offer1,Agent,Sports Car,Medsize
5973.976904,41611,74,14,8,0,8,0,0,113.801497,0,1,0,1,2,1,Nevada,Employed,Special L2,Offer1,Branch,Four-Door Car,Medsize
5670.442396,28406,72,16,35,1,4,0,0,192.87572,0,1,2,1,1,1,Oregon,Employed,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
4731.749346,69833,118,32,99,0,1,0,1,828.662719,2,1,1,1,1,1,Arizona,Employed,Personal L3,Offer1,Agent,Four-Door Car,Small
8026.379641,0,74,15,91,0,2,0,0,532.8,0,0,1,0,0,0,Arizona,Unemployed,Corporate L2,Offer1,Web,Four-Door Car,Small
4022.963529,0,117,6,1,0,1,0,1,975.107098,0,0,1,0,1,2,Arizona,Unemployed,Personal L3,Offer1,Agent,SUV,Medsize
9618.310865,80536,119,5,83,0,3,0,0,53.798708,0,0,0,1,2,2,Oregon,Employed,Special L2,Offer1,Branch,Sports Car,Medsize
2274.775451,0,63,2,5,0,1,0,0,606.642452,0,1,1,0,1,1,Washington,Unemployed,Personal L2,Offer2,Agent,Four-Door Car,Small
9552.926922,97732,79,0,70,0,2,0,0,289.9122,1,1,2,1,1,1,Oregon,Employed,Personal L3,Offer4,Branch,Four-Door Car,Medsize
10388.55323,61222,89,20,55,0,2,0,0,392.604371,1,1,2,0,2,1,Arizona,Employed,Special L3,Offer3,Branch,Four-Door Car,Small
2470.121222,0,74,7,20,0,1,0,1,721.242206,0,1,1,0,1,2,Oregon,Unemployed,Personal L1,Offer4,Web,Two-Door Car,Large
5619.068508,50335,140,9,54,0,1,0,1,456.52385,2,2,2,1,1,2,Arizona,Employed,Personal L2,Offer1,Call Center,SUV,Medsize
9047.119209,0,127,30,11,0,6,0,0,1087.995426,1,0,1,0,1,2,California,Unemployed,Personal L2,Offer3,Branch,Sports Car,Medsize
6692.143668,63221,168,28,49,0,1,0,1,806.4,2,0,1,1,0,2,Washington,Employed,Corporate L3,Offer3,Agent,SUV,Medsize
3731.504584,0,96,31,34,0,1,1,0,460.8,1,0,1,1,1,1,Oregon,Unemployed,Personal L1,Offer1,Agent,Four-Door Car,Large
3660.770258,64495,92,34,30,0,1,0,1,251.992083,1,1,2,1,0,0,Nevada,Employed,Corporate L2,Offer4,Web,Four-Door Car,Medsize
7928.829252,0,72,7,75,0,2,0,0,345.6,0,1,1,1,0,0,California,Unemployed,Corporate L3,Offer1,Call Center,Four-Door Car,Medsize
5011.751577,28859,67,24,51,3,4,0,0,321.6,0,1,1,0,0,2,Arizona,Employed,Corporate L2,Offer1,Call Center,Two-Door Car,Medsize
7988.258292,77330,99,0,21,0,3,0,0,99.257608,1,0,0,1,1,1,Arizona,Employed,Personal L3,Offer2,Web,Four-Door Car,Medsize
3885.456401,0,105,3,92,0,1,1,1,504,2,1,1,1,0,0,Oregon,Unemployed,Corporate L2,Offer1,Branch,Four-Door Car,Large
2659.337982,24495,70,29,65,0,1,0,1,336,0,1,1,0,1,1,Washington,Employed,Personal L2,Offer4,Branch,Four-Door Car,Small
8564.768226,95697,107,29,29,0,9,1,1,178.006524,0,0,0,1,1,2,Washington,Employed,Personal L3,Offer2,Agent,Sports Car,Medsize
4885.162511,26372,126,11,7,0,1,0,1,604.8,1,0,1,1,1,2,Arizona,Disabled,Personal L3,Offer4,Agent,SUV,Medsize
9753.307106,17514,127,2,5,0,3,0,0,8.312729,1,1,0,1,1,2,Arizona,Medical Leave,Personal L1,Offer1,Branch,SUV,Medsize
2946.153697,89270,74,17,90,0,1,0,0,316.599228,0,1,2,0,1,1,California,Employed,Personal L3,Offer2,Branch,Four-Door Car,Medsize
2581.110945,29757,65,13,55,0,1,0,1,312,0,0,1,1,1,1,California,Employed,Personal L2,Offer2,Web,Four-Door Car,Small
3517.385764,51814,92,28,89,0,1,0,1,56.300724,1,1,0,0,1,1,Oregon,Employed,Personal L2,Offer3,Agent,Four-Door Car,Medsize
9743.350113,24028,82,14,27,0,2,0,0,393.6,1,1,1,1,1,1,Oregon,Employed,Personal L2,Offer2,Agent,Four-Door Car,Small
3873.647046,28142,105,18,50,0,1,1,1,701.708239,0,1,1,1,1,2,Arizona,Retired,Personal L3,Offer2,Agent,Sports Car,Medsize
7649.28199,52705,64,14,8,1,2,0,0,128.705563,0,1,0,1,1,2,Arizona,Employed,Personal L2,Offer1,Web,Two-Door Car,Large
2287.59692,0,63,1,5,0,1,0,1,679.368378,0,0,1,1,0,2,California,Unemployed,Corporate L3,Offer2,Agent,Two-Door Car,Medsize
4475.424592,84903,111,7,63,0,1,0,0,497.126827,0,1,2,1,1,2,Washington,Employed,Personal L1,Offer1,Agent,SUV,Medsize
8714.922135,0,118,14,64,0,4,1,0,566.4,0,1,1,0,1,2,California,Unemployed,Personal L3,Offer1,Agent,SUV,Medsize
2248.449633,24910,63,7,63,1,1,1,0,347.857619,0,1,1,0,1,1,Washington,Retired,Personal L1,Offer1,Branch,Four-Door Car,Medsize
7416.197322,0,77,15,12,2,2,0,1,554.4,1,1,1,0,1,1,California,Unemployed,Personal L3,Offer1,Agent,Four-Door Car,Medsize
7771.158973,21876,68,12,28,0,2,0,1,465.41477,0,2,1,1,1,1,Oregon,Medical Leave,Personal L3,Offer1,Agent,Four-Door Car,Small
6968.3419,0,69,33,61,1,2,0,0,496.8,0,1,1,0,1,1,California,Unemployed,Personal L3,Offer1,Agent,Four-Door Car,Small
4250.282624,0,61,17,1,1,7,1,0,292.8,0,0,1,0,1,1,California,Unemployed,Personal L1,Offer1,Agent,Four-Door Car,Small
19776.56654,70699,82,1,57,0,2,0,0,256.813837,1,0,2,0,1,1,Oregon,Employed,Personal L2,Offer3,Agent,Four-Door Car,Medsize
21343.46599,0,74,11,85,1,2,0,0,355.2,0,0,1,1,1,1,California,Unemployed,Personal L2,Offer1,Agent,Four-Door Car,Medsize
2413.139714,27501,63,20,0,0,1,0,1,542.319401,0,1,1,1,1,1,California,Medical Leave,Personal L1,Offer4,Branch,Four-Door Car,Medsize
15363.84716,15897,101,30,99,0,2,0,0,303.148399,2,2,2,0,1,1,Oregon,Disabled,Personal L3,Offer2,Agent,Four-Door Car,Medsize
8456.961887,25141,73,12,4,1,2,0,0,25.438063,0,1,0,0,1,1,Nevada,Employed,Personal L3,Offer3,Agent,Four-Door Car,Medsize
2189.642522,0,61,5,46,3,1,0,0,292.8,0,1,1,1,1,1,Nevada,Unemployed,Personal L2,Offer3,Agent,Four-Door Car,Small
5780.182197,51066,74,23,0,0,8,1,1,787.993313,0,0,1,0,1,1,California,Employed,Personal L2,Offer2,Call Center,Four-Door Car,Medsize
4639.981638,28358,117,24,37,0,1,0,0,84.024413,0,1,0,1,1,2,California,Employed,Personal L2,Offer2,Call Center,Sports Car,Medsize
4465.335703,61846,112,1,48,0,1,0,0,215.8182,0,1,0,1,1,2,Washington,Employed,Personal L2,Offer2,Agent,SUV,Medsize
5968.118877,90972,74,3,47,0,8,0,0,232.926145,0,1,2,1,1,2,Arizona,Employed,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
5097.763337,0,74,3,95,0,7,0,0,532.8,0,1,1,0,1,2,Washington,Unemployed,Personal L3,Offer3,Web,Two-Door Car,Medsize
4076.634665,29549,104,17,51,0,1,0,0,710.433775,0,1,1,0,1,2,California,Employed,Personal L2,Offer2,Call Center,Sports Car,Small
12252.60179,0,115,12,17,1,2,0,0,552,2,1,1,1,1,1,California,Unemployed,Personal L2,Offer1,Agent,Four-Door Car,Medsize
16936.27147,39411,217,4,29,2,4,0,0,1122.658899,1,1,1,1,1,1,Nevada,Employed,Personal L3,Offer3,Branch,Luxury Car,Medsize
4892.435461,21709,62,28,17,0,3,0,1,408.374746,0,0,1,1,1,1,Oregon,Employed,Personal L2,Offer2,Branch,Four-Door Car,Large
